dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,clouds,visibility,wind_speed,wind_deg,weather,rain,wind_gust
1451520000,1451463706,1451512552,22.14,22.21,1016,69,16.19,0,10000.0,4.1,330,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.72},
1451606400,1451550143,1451598971,24.09,24.49,1015,74,19.17,40,9999.0,5.7,320,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,
1451692800,1451636580,1451685389,22.0,22.55,1015,88,19.92,75,8000.0,2.1,100,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.28},
1451779200,1451723019,1451771806,21.3,21.78,1017,88,19.23,100,7000.0,3.6,150,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",,
1451865600,1451809458,1451858222,20.25,20.47,1018,82,17.08,75,9999.0,6.2,90,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,
1451952000,1451895897,1451944636,20.43,20.59,1019,79,16.67,75,6000.0,4.6,90,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,
1452038400,1451982337,1452031049,21.1,21.28,1019,77,16.91,0,10000.0,5.7,170,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1452124800,1452068778,1452117461,22.01,22.22,1016,75,17.38,0,10000.0,3.6,90,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1452211200,1452155219,1452203872,23.65,23.64,1013,60,15.43,0,10000.0,2.6,80,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1452297600,1452241661,1452290281,22.62,22.71,1016,68,16.42,40,9999.0,2.6,130,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,
1452384000,1452328103,1452376689,21.8,22.41,1017,91,20.27,100,7000.0,2.6,100,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",{'1h': 1.87},
1452470400,1452414545,1452463095,22.75,23.25,1016,83,19.71,100,9000.0,4.1,60,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.64},
1452556800,1452500988,1452549500,22.66,23.23,1013,86,20.2,40,8000.0,4.6,350,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.43},
1452643200,1452587431,1452635904,22.97,23.54,1012,85,20.31,100,9999.0,4.6,320,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",,
1452729600,1452673875,1452722307,22.9,23.54,1013,88,20.81,75,4000.0,4.6,150,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1452816000,1452760319,1452808708,21.71,22.23,1013,88,19.64,75,2000.0,4.1,140,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}, {'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.16},
1452902400,1452846763,1452895107,20.06,20.42,1014,88,18.01,100,9999.0,5.7,150,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.22},
1452988800,1452933207,1452981506,18.95,18.99,1016,80,15.43,0,10000.0,4.6,150,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1453075200,1453019651,1453067903,19.41,19.34,1017,74,14.66,40,9999.0,6.7,120,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,
1453161600,1453106095,1453154298,18.86,18.94,1016,82,15.72,75,9999.0,7.2,100,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,
1453248000,1453192540,1453240692,18.91,18.63,1016,68,12.88,75,9999.0,8.8,180,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,
1453334400,1453278984,1453327085,18.77,18.84,1017,82,15.64,100,7000.0,5.1,120,"[{'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09n'}, {'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1453420800,1453365429,1453413477,19.06,19.03,1019,77,14.94,40,9999.0,6.2,150,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.17},
1453507200,1453451873,1453499867,19.12,19.02,1019,74,14.38,75,9999.0,5.7,140,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,
1453593600,1453538318,1453586256,20.05,20.25,1018,82,16.88,100,6000.0,3.1,130,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",,
1453680000,1453624762,1453672643,21.18,21.49,1016,82,17.99,40,4000.0,2.1,70,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1453766400,1453711206,1453759029,23.75,23.88,1017,65,16.78,75,9999.0,2.1,110,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,
1453852800,1453797650,1453845413,25.54,25.79,1013,63,17.98,40,9999.0,2.1,70,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,
1453939200,1453884094,1453931797,21.17,21.56,1018,85,18.55,75,8000.0,5.7,110,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",,
1454025600,1453970537,1454018179,22.48,22.82,1019,78,18.45,75,6000.0,6.2,110,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,
1454112000,1454056981,1454104559,24.18,24.35,1018,65,17.19,0,10000.0,4.1,20,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
