dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,clouds,visibility,wind_speed,wind_deg,weather,wind_gust,rain
1594252800,1594201736,1594240443,21.92,21.58,1015,54,12.2,0,10000,4.1,340,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1594339200,1594288130,1594326866,13.7,13.27,1023,82,10.69,0,10000,2.1,120,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1594425600,1594374523,1594413290,17.91,17.74,1021,76,13.62,0,10000,2.6,90,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}]",,
1594512000,1594460915,1594499714,19.96,19.66,1018,63,12.71,0,10000,2.1,20,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1594598400,1594547305,1594586139,18.7,18.4,1018,68,12.68,0,10000,1.0,0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1594684800,1594633694,1594672563,18.7,18.51,1019,72,13.55,0,10000,2.6,360,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1594771200,1594720082,1594758988,14.7,14.37,1024,82,11.66,100,10000,3.6,140,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1594857600,1594806470,1594845413,13.7,13.27,1026,82,10.69,100,7000,4.6,140,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1594944000,1594892855,1594931839,15.7,15.47,1023,82,12.64,0,10000,2.6,120,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1595030400,1594979240,1595018265,17.7,17.54,1024,77,13.62,0,10000,2.6,130,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1595116800,1595065624,1595104690,19.7,19.53,1023,69,13.86,0,10000,2.6,80,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1595203200,1595152006,1595191116,18.2,17.93,1022,71,12.86,0,10000,2.1,110,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1595289600,1595238388,1595277543,16.7,16.18,1022,67,10.55,0,10000,1.5,60,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1595376000,1595324768,1595363969,17.7,17.17,1020,63,10.58,0,10000,2.1,300,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1595462400,1595411147,1595450395,20.17,19.76,1022,58,11.65,0,10000,1.5,170,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1595548800,1595497525,1595536822,18.54,18.38,1020,74,13.82,0,10000,1.34,42,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",1.34,
1595635200,1595583902,1595623248,16.7,16.07,1021,63,9.63,0,10000,1.0,320,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
