dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,clouds,visibility,wind_speed,wind_deg,weather,rain
1199145600,1199089345,1199138172,23.73,24.2,1015,78,19.67,40,10000.0,4.6,170,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
1199232000,1199175783,1199224590,22.01,22.36,1017,80,18.4,75,6000.0,3.1,170,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",
1199318400,1199262221,1199311007,21.38,21.79,1016,85,18.76,75,5000.0,2.6,130,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}, {'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.15}
1199404800,1199348660,1199397423,21.99,22.23,1018,76,17.57,0,8000.0,1.0,140,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",
1199491200,1199435099,1199483837,22.98,23.06,1018,66,16.29,75,10000.0,1.5,300,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",
1199577600,1199521539,1199570250,20.28,20.64,1015,87,18.05,75,8000.0,2.1,160,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",
1199664000,1199607980,1199656662,19.96,20.05,1015,78,16.01,40,10000.0,5.1,150,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",
1199750400,1199694421,1199743072,19.98,20.07,1015,78,16.03,0,9900.0,4.1,160,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",
1199836800,1199780863,1199829481,20.45,20.64,1013,80,16.88,42,9900.0,3.6,130,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
1199923200,1199867305,1199915889,21.37,21.52,1013,75,16.76,20,10000.0,4.1,150,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}]",
1200009600,1199953748,1200002296,23.09,23.39,1012,74,18.21,0,9900.0,4.1,130,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}]",
1200096000,1200040191,1200088701,24.32,24.61,1014,69,18.27,40,10000.0,3.1,120,"[{'id': 211, 'main': 'Thunderstorm', 'description': 'thunderstorm', 'icon': '11n'}]",
1200182400,1200126634,1200175104,21.29,21.77,1016,88,19.22,75,4000.0,3.6,140,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}, {'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",
1200268800,1200213077,1200261507,21.16,21.63,1017,88,19.09,75,5000.0,4.1,140,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
1200355200,1200299521,1200347908,20.13,20.5,1018,88,18.08,20,10000.0,1.5,140,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
1200441600,1200385965,1200434308,20.54,20.87,1016,85,17.93,40,10000.0,3.1,150,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
1200528000,1200472409,1200520706,22.36,22.37,1014,66,15.7,75,9900.0,6.2,10,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}]",
1200614400,1200558853,1200607103,21.72,22.4,1013,94,20.71,40,5000.0,1.5,300,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}, {'id': 520, 'main': 'Rain', 'description': 'light intensity shower rain', 'icon': '09n'}, {'id': 201, 'main': 'Thunderstorm', 'description': 'thunderstorm with rain', 'icon': '11n'}]",
1200700800,1200645298,1200693498,22.6,23.03,1013,81,19.17,40,10000.0,2.6,330,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",
1200787200,1200731742,1200779892,20.92,21.39,1013,89,19.04,100,4000.0,5.1,340,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
1200873600,1200818187,1200866285,17.89,17.98,1016,86,15.52,75,6000.0,3.6,160,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",
1200960000,1200904631,1200952676,16.98,16.98,1019,86,14.62,100,5000.0,5.7,170,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}, {'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09n'}, {'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.44}
1201046400,1200991076,1201039066,17.22,17.19,1019,84,14.49,75,10000.0,6.2,140,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",
1201132800,1201077520,1201125455,17.89,17.88,1020,82,14.78,100,10000.0,5.1,140,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",
1201219200,1201163964,1201211842,19.18,19.24,1019,80,15.65,75,6000.0,4.1,140,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
1201305600,1201250408,1201298228,18.6,18.58,1018,79,14.89,75,5000.0,5.1,120,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
1201392000,1201336852,1201384613,18.37,18.33,1018,79,14.67,40,10000.0,5.1,120,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",
1201478400,1201423296,1201470996,18.38,18.34,1019,79,14.68,75,10000.0,6.2,140,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",
1201564800,1201509740,1201557378,18.8,19.14,1017,92,17.47,100,3000.0,2.1,100,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}, {'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",{'1h': 0.37}
1201651200,1201596183,1201643758,17.97,18.15,1012,89,16.13,100,4000.0,5.1,110,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
1201737600,1201682626,1201730138,19.48,19.86,1010,91,17.97,100,4500.0,2.6,150,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
1201824000,1201769069,1201816516,20.29,20.62,1009,86,17.87,40,4000.0,2.1,180,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
1201910400,1201855511,1201902892,21.74,22.03,1010,79,17.94,0,8000.0,2.1,60,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
1201996800,1201941954,1201989268,25.42,25.69,1010,64,18.12,40,10000.0,3.1,180,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.1}
1202083200,1202028395,1202075642,20.23,20.63,1015,89,18.36,75,4000.0,4.6,150,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
