dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,clouds,visibility,wind_speed,wind_deg,weather,rain,wind_gust
1293840000,1293783754,1293832576,20.4,20.58,1012,80,16.84,75,10000,5.7,150,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,
1293926400,1293870191,1293918994,19.83,20.24,1011,91,18.32,100,4500,3.1,150,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.17},
1294012800,1293956630,1294005411,19.92,20.4,1010,93,18.75,75,6000,4.6,210,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",{'1h': 1.38},
1294099200,1294043069,1294091826,20.86,21.43,1010,93,19.69,75,10000,1.5,120,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,
1294185600,1294129508,1294178240,21.39,21.88,1010,88,19.32,40,7000,1.0,120,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,
1294272000,1294215949,1294264653,22.52,23.26,1015,93,21.33,75,5000,1.0,350,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}, {'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",,
1294358400,1294302390,1294351064,22.45,22.89,1015,82,19.23,0,10000,2.6,90,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1294444800,1294388831,1294437474,21.54,22.07,1016,89,19.65,100,5000,2.1,50,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}, {'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1294531200,1294475273,1294523883,21.34,21.85,1015,89,19.45,75,10000,1.5,330,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1294617600,1294561715,1294610291,22.53,23.14,1013,88,20.44,75,10000,2.1,350,"[{'id': 201, 'main': 'Thunderstorm', 'description': 'thunderstorm with rain', 'icon': '11n'}, {'id': 520, 'main': 'Rain', 'description': 'light intensity shower rain', 'icon': '09n'}]",,
1294704000,1294648157,1294696697,22.38,23.0,1009,89,20.48,75,4000,5.1,160,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}, {'id': 520, 'main': 'Rain', 'description': 'light intensity shower rain', 'icon': '09n'}, {'id': 201, 'main': 'Thunderstorm', 'description': 'thunderstorm with rain', 'icon': '11n'}]",{'1h': 0.23},
1294790400,1294734600,1294783102,21.65,22.25,1010,91,20.12,100,4000,3.1,150,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}, {'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09n'}]",,
1294876800,1294821044,1294869505,22.71,23.33,1009,88,20.62,75,10000,1.0,280,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.41},
1294963200,1294907487,1294955907,21.45,21.95,1011,88,19.38,100,10000,2.6,40,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",,
1295049600,1294993931,1295042308,21.28,21.79,1013,89,19.39,40,10000,2.1,120,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1295136000,1295080375,1295128707,21.54,21.86,1013,81,18.14,75,10000,3.1,150,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,
1295222400,1295166819,1295215105,22.47,22.91,1013,82,19.25,20,10000,1.0,160,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,
1295308800,1295253264,1295301502,23.22,23.58,1015,76,18.76,40,10000,1.5,330,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,
1295395200,1295339708,1295387897,21.57,22.08,1014,88,19.5,0,8000,1.5,60,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.51},
1295481600,1295426152,1295474291,23.07,23.44,1011,77,18.82,0,10000,1.0,190,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}]",,
1295568000,1295512597,1295560683,22.85,23.38,1013,84,20.0,0,10000,1.0,300,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1295654400,1295599041,1295647074,22.94,23.59,1014,88,20.85,75,10000,5.1,130,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1295740800,1295685486,1295733464,23.03,23.58,1016,84,20.18,75,4000,4.1,160,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1295827200,1295771930,1295819852,20.8,21.26,1019,89,18.92,75,4000,5.1,320,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}, {'id': 520, 'main': 'Rain', 'description': 'light intensity shower rain', 'icon': '09n'}, {'id': 201, 'main': 'Thunderstorm', 'description': 'thunderstorm with rain', 'icon': '11n'}]",,
1295913600,1295858374,1295906239,23.29,23.76,1016,80,19.65,40,10000,2.6,160,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1296000000,1295944818,1295992625,22.59,23.15,1016,86,20.13,0,8000,1.0,140,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1296086400,1296031262,1296079009,23.62,24.23,1015,84,20.76,40,3000,1.0,200,"[{'id': 520, 'main': 'Rain', 'description': 'light intensity shower rain', 'icon': '09n'}, {'id': 201, 'main': 'Thunderstorm', 'description': 'thunderstorm with rain', 'icon': '11n'}, {'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1296172800,1296117706,1296165392,25.86,25.86,1013,52,15.26,40,10000,1.5,60,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}]",,
1296259200,1296204150,1296251773,25.48,25.57,1015,57,16.34,0,10000,0.0,0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1296345600,1296290593,1296338154,23.36,23.79,1017,78,19.31,0,10000,0.0,0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1296432000,1296377036,1296424533,23.73,24.27,1017,81,20.28,75,10000,2.6,160,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1296518400,1296463479,1296510910,23.21,23.28,1017,65,16.27,75,10000,4.1,10,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}]",,
1296604800,1296549921,1296597287,24.31,24.44,1016,63,16.82,0,10000,2.1,290,"[{'id': 211, 'main': 'Thunderstorm', 'description': 'thunderstorm', 'icon': '11n'}]",,
1296691200,1296636363,1296683662,21.53,22.04,1017,88,19.46,100,8000,2.6,120,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.13},
1296777600,1296722805,1296770035,22.32,22.77,1016,83,19.29,0,10000,0.0,0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1296864000,1296809246,1296856408,23.98,24.57,1014,82,20.72,0,10000,3.1,180,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1296950400,1296895687,1296942779,24.58,25.0,1014,73,19.42,0,10000,1.5,140,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1297036800,1296982128,1297029149,24.93,25.54,1016,79,21.04,0,10000,3.1,140,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1297123200,1297068568,1297115518,22.08,22.54,1017,84,19.25,75,8000,0.0,0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",,
1297209600,1297155007,1297201886,24.2,24.56,1016,72,18.83,40,10000,2.6,300,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}]",,
1297296000,1297241446,1297288252,25.32,25.55,1013,63,17.77,0,10000,1.5,230,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1297382400,1297327885,1297374618,24.82,25.05,1013,65,17.8,40,10000,1.0,120,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.15},
1297468800,1297414323,1297460982,22.47,22.65,1017,72,17.17,40,10000,4.6,80,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,
1297555200,1297500761,1297547345,23.59,23.81,1015,69,17.57,0,10000,2.1,40,"[{'id': 211, 'main': 'Thunderstorm', 'description': 'thunderstorm', 'icon': '11n'}]",,
1297641600,1297587198,1297633707,24.65,24.74,1015,60,16.37,20,10000,1.5,190,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,
1297728000,1297673635,1297720068,20.69,21.11,1016,88,18.63,75,8000,6.2,40,"[{'id': 522, 'main': 'Rain', 'description': 'heavy intensity shower rain', 'icon': '09n'}, {'id': 202, 'main': 'Thunderstorm', 'description': 'thunderstorm with heavy rain', 'icon': '11n'}]",{'1h': 0.37},
1297814400,1297760071,1297806428,21.11,21.6,1017,89,19.23,75,6000,1.5,120,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1297900800,1297846507,1297892787,20.0,20.38,1019,89,18.13,100,8000,3.6,30,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",,
1297987200,1297932942,1297979145,20.93,21.17,1018,80,17.35,0,10000,1.5,90,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1298073600,1298019377,1298065502,21.72,22.25,1017,88,19.65,75,10000,3.1,150,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1298160000,1298105811,1298151858,22.6,22.95,1016,78,18.57,40,6000,2.6,190,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
