dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,clouds,visibility,wind_speed,wind_deg,weather,rain,wind_gust
1410566400,1410512795,1410555565,16.88,16.63,1022,77,12.83,40,8000.0,5.1,150,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,
1410652800,1410599133,1410641983,17.51,17.46,1021,82,14.41,0,,4.12,140,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1410739200,1410685470,1410728401,22.51,22.15,1019,51,11.88,0,,1.54,80,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1410825600,1410771808,1410814819,23.88,23.5,1016,45,11.24,0,,2.6,270,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}, {'id': 211, 'main': 'Thunderstorm', 'description': 'thunderstorm', 'icon': '11n'}]",,
1410912000,1410858146,1410901237,16.51,16.23,1021,77,12.47,100,,5.7,140,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",,
1410998400,1410944483,1410987656,16.51,16.28,1022,79,12.86,100,,5.14,120,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1411084800,1411030820,1411074074,18.51,18.43,1018,77,14.41,75,,4.12,160,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1411171200,1411117158,1411160492,19.88,20.01,1016,80,16.33,0,,3.6,330,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1411257600,1411203495,1411246911,19.51,19.47,1017,75,14.96,0,10000.0,5.14,340,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.16},
1411344000,1411289832,1411333329,16.7,16.31,1021,72,11.63,75,10000.0,6.17,160,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.13},6.17
1411430400,1411376169,1411419748,14.7,14.24,1023,77,10.71,75,10000.0,5.14,90,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,
1411516800,1411462507,1411506167,18.03,17.9,1020,77,13.94,0,10000.0,5.14,190,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,5.14
1411603200,1411548844,1411592586,17.51,17.38,1021,79,13.83,75,,2.1,160,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.43},
