dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,clouds,visibility,wind_speed,wind_deg,weather,rain
1324425600,1324368988,1324417898,22.42,21.61,1015,34,5.8,0,10000,1.5,150,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",
1324512000,1324455415,1324504328,24.59,23.94,1014,32,6.82,0,10000,3.1,140,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",
1324598400,1324541844,1324590757,23.1,23.14,1015,64,15.92,0,10000,3.1,150,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}]",
1324684800,1324628273,1324677185,23.84,23.82,1016,59,15.35,0,10000,1.0,20,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}]",
1324771200,1324714704,1324763612,21.34,21.7,1018,83,18.34,75,7000,3.6,180,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",{'1h': 1.23}
1324857600,1324801136,1324850038,19.78,20.03,1020,85,17.19,75,6000,4.1,180,"[{'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09n'}, {'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.19}
1324944000,1324887568,1324936463,18.05,18.1,1020,84,15.31,75,5000,4.6,120,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
1325030400,1324974002,1325022887,19.3,19.3,1017,77,15.17,40,10000,4.6,140,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",
1325116800,1325060436,1325109310,17.68,17.72,1016,85,15.13,75,5000,4.1,150,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
1325203200,1325146871,1325195732,17.54,17.36,1016,77,13.47,40,10000,3.1,150,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
1325289600,1325233307,1325282152,19.87,20.08,1016,83,16.9,75,7000,3.6,130,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
