dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,clouds,visibility,wind_speed,wind_deg,weather,rain
1262304000,1262247763,1262296581,21.51,21.88,1014,83,18.5,75,10000,3.6,160,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",
1262390400,1262334201,1262382999,19.9,20.37,1015,93,18.73,100,10000,1.0,310,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",
1262476800,1262420640,1262469415,21.78,22.39,1017,91,20.25,75,8000,1.0,100,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",
1262563200,1262507079,1262555830,23.2,23.77,1018,84,20.35,75,10000,4.1,150,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
1262649600,1262593519,1262642243,22.33,22.81,1017,84,19.5,75,10000,1.0,40,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",
1262736000,1262679959,1262728656,21.34,21.93,1015,92,19.99,100,2000,1.5,360,"[{'id': 521, 'main': 'Rain', 'description': 'shower rain', 'icon': '09n'}, {'id': 201, 'main': 'Thunderstorm', 'description': 'thunderstorm with rain', 'icon': '11n'}]",
1262822400,1262766400,1262815067,22.43,22.92,1013,84,19.59,75,6000,2.1,330,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}, {'id': 211, 'main': 'Thunderstorm', 'description': 'thunderstorm', 'icon': '11n'}]",{'1h': 2.56}
1262908800,1262852842,1262901477,22.3,22.88,1015,88,20.22,75,10000,3.1,160,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
1262995200,1262939283,1262987885,22.2,22.83,1017,90,20.48,75,4000,1.0,140,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
1263081600,1263025726,1263074292,22.81,23.44,1016,88,20.72,0,10000,1.0,310,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",
1263168000,1263112169,1263160698,24.13,24.48,1015,72,18.77,40,10000,3.1,130,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",
1263254400,1263198612,1263247103,20.87,21.31,1016,88,18.81,75,6000,1.5,300,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",
1263340800,1263285055,1263333506,23.54,23.96,1017,77,19.27,75,7000,3.1,90,"[{'id': 211, 'main': 'Thunderstorm', 'description': 'thunderstorm', 'icon': '11n'}]",
1263427200,1263371499,1263419907,25.47,25.72,1015,63,17.91,0,10000,2.1,20,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.16}
1263513600,1263457942,1263506308,21.33,21.79,1018,87,19.08,75,10000,3.6,250,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.41}
1263600000,1263544386,1263592707,19.56,19.24,1022,64,12.57,75,10000,3.6,140,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",
1263686400,1263630831,1263679104,21.11,21.73,1021,94,20.11,75,5000,4.1,80,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.46}
1263772800,1263717275,1263765501,23.04,23.54,1020,82,19.8,75,3500,4.1,360,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}, {'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}]",
1263859200,1263803719,1263851895,22.49,22.83,1018,78,18.46,75,3000,3.6,60,"[{'id': 201, 'main': 'Thunderstorm', 'description': 'thunderstorm with rain', 'icon': '11n'}, {'id': 521, 'main': 'Rain', 'description': 'shower rain', 'icon': '09n'}]",
1263945600,1263890164,1263938289,21.41,21.98,1018,91,19.88,75,3500,3.1,360,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}, {'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",
1264032000,1263976608,1264024681,23.58,23.85,1014,71,18.02,75,10000,5.1,200,"[{'id': 211, 'main': 'Thunderstorm', 'description': 'thunderstorm', 'icon': '11n'}, {'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",{'1h': 2.71}
1264118400,1264063053,1264111072,20.75,21.23,1015,90,19.05,75,3000,2.6,20,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}, {'id': 520, 'main': 'Rain', 'description': 'light intensity shower rain', 'icon': '09n'}, {'id': 201, 'main': 'Thunderstorm', 'description': 'thunderstorm with rain', 'icon': '11n'}]",{'1h': 1.66}
1264204800,1264149497,1264197461,21.2,21.44,1016,79,17.42,0,10000,3.1,70,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.31}
1264291200,1264235942,1264283849,20.56,21.07,1017,92,19.22,75,6000,1.5,300,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",
1264377600,1264322386,1264370236,20.87,21.36,1017,90,19.17,75,8000,0.5,90,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",
1264464000,1264408830,1264456621,20.63,21.2,1016,94,19.63,100,5000,1.5,100,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}, {'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",
1264550400,1264495274,1264543005,20.79,21.25,1016,89,18.91,75,6000,2.6,120,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
1264636800,1264581717,1264629387,22.4,22.92,1015,85,19.75,75,6000,1.0,260,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",
1264723200,1264668161,1264715769,22.25,22.7,1015,83,19.22,75,8000,5.1,70,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
1264809600,1264754604,1264802148,21.61,21.99,1017,83,18.6,0,10000,1.5,50,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
