dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,clouds,visibility,wind_speed,wind_deg,weather,rain,wind_gust
1514678400,1514622124,1514670961,21.69,21.95,1012,78,17.69,75,10000.0,5.7,340,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.12},
1514764800,1514708561,1514757380,21.67,21.93,1013,78,17.67,20,10000.0,5.7,340,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",,
1514851200,1514794999,1514843797,24.69,25.02,1011,69,18.62,0,10000.0,3.1,340,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1514937600,1514881437,1514930214,22.69,22.92,1009,73,17.6,40,10000.0,5.14,350,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",,
1515024000,1514967877,1515016629,19.71,20.03,1013,88,17.67,75,10000.0,4.63,170,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,
1515110400,1515054316,1515103043,20.69,20.38,1017,60,12.66,0,10000.0,4.0,113,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,7.7
1515196800,1515140757,1515189455,20.74,20.88,1016,77,16.56,0,,3.6,130,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1515283200,1515227198,1515275866,19.71,19.46,1016,66,13.19,100,,3.6,50,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",,
1515369600,1515313639,1515362276,19.15,19.26,1017,82,16.01,100,10000.0,3.6,150,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.6},
1515456000,1515400081,1515448685,18.71,19.06,1021,93,17.56,100,,2.6,160,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}, {'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",{'1h': 0.47},
1515542400,1515486523,1515535092,20.69,20.83,1022,77,16.52,75,,4.12,140,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,
1515628800,1515572966,1515621498,21.69,22.06,1021,82,18.48,75,,4.12,190,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,
1515715200,1515659409,1515707902,21.63,21.75,1019,73,16.58,75,10000.0,2.6,20,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,
1515801600,1515745852,1515794305,22.64,22.87,1014,73,17.56,0,10000.0,5.7,360,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1515888000,1515832296,1515880707,23.66,23.67,1014,61,15.7,0,10000.0,2.6,330,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
