dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,clouds,visibility,wind_speed,wind_deg,weather,rain
1167609600,1167553355,1167602177,20.23,20.74,1018,93,19.06,75,6000.0,3.1,90,"[{'id': 502, 'main': 'Rain', 'description': 'heavy intensity rain', 'icon': '10n'}]",{'1h': 5.32}
1167696000,1167639792,1167688595,21.04,21.47,1017,87,18.79,75,10000.0,1.5,70,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",
1167782400,1167726231,1167775011,21.7,22.33,1017,92,20.34,75,10000.0,0.5,40,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",
1167868800,1167812670,1167861426,21.26,21.84,1014,92,19.91,75,10000.0,2.1,320,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
1167955200,1167899110,1167947840,21.58,22.17,1012,91,20.05,75,8000.0,2.1,310,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",
1168041600,1167985550,1168034253,21.76,22.18,1012,84,18.94,75,8000.0,3.6,30,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
1168128000,1168071991,1168120665,22.38,22.74,1015,79,18.56,75,10000.0,3.6,350,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",
1168214400,1168158432,1168207075,21.34,21.91,1018,91,19.81,75,4500.0,3.1,120,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",
1168300800,1168244874,1168293484,20.12,20.51,1019,89,18.25,75,10000.0,4.1,210,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
1168387200,1168331316,1168379891,20.71,21.16,1017,89,18.83,100,6000.0,2.1,120,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
1168473600,1168417759,1168466297,20.41,20.7,1016,84,17.62,75,10000.0,3.6,180,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",
1168560000,1168504202,1168552702,22.5,22.35,1014,59,14.1,0,10000.0,0.0,0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",
1168646400,1168590645,1168639105,24.24,24.57,1009,71,18.65,40,10000.0,6.7,330,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}, {'id': 211, 'main': 'Thunderstorm', 'description': 'thunderstorm', 'icon': '11n'}]",{'1h': 0.7}
1168732800,1168677089,1168725507,20.4,20.74,1011,86,17.98,40,6000.0,2.1,160,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
1168819200,1168763532,1168811908,20.34,20.44,1015,77,16.18,0,10000.0,2.6,140,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",
1168905600,1168849976,1168898307,19.42,19.56,1018,82,16.27,75,7000.0,3.1,170,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
1168992000,1168936421,1168984705,19.12,19.2,1019,81,15.78,40,10000.0,4.1,150,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",
1169078400,1169022865,1169071102,21.9,22.47,1014,89,20.0,75,7000.0,3.6,50,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.15}
1169164800,1169109309,1169157497,22.17,22.61,1014,83,19.15,75,10000.0,5.7,360,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",
1169251200,1169195754,1169243891,24.83,25.61,1015,86,22.33,40,7000.0,2.1,140,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
1169337600,1169282198,1169330283,23.28,23.65,1017,76,18.81,0,10000.0,5.1,350,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",
1169424000,1169368643,1169416674,19.5,19.88,1019,91,17.99,75,8000.0,4.1,160,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
1169510400,1169455087,1169503064,18.64,18.86,1018,88,16.61,75,7000.0,2.6,150,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
1169596800,1169541531,1169589452,19.58,19.81,1018,85,16.99,75,7000.0,5.1,150,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
1169683200,1169627976,1169675839,20.88,21.19,1017,83,17.89,40,7000.0,2.6,130,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
1169769600,1169714420,1169762224,22.15,22.82,1016,92,20.79,100,2200.0,2.6,130,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
1169856000,1169800864,1169848609,23.33,23.96,1015,86,20.86,75,7000.0,1.5,170,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
1169942400,1169887307,1169934992,22.96,23.4,1015,80,19.33,40,10000.0,3.1,350,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",
1170028800,1169973751,1170021373,22.33,22.84,1014,85,19.69,75,8000.0,6.2,350,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",
1170115200,1170060194,1170107753,23.21,23.88,1014,88,21.11,75,7000.0,5.7,360,"[{'id': 520, 'main': 'Rain', 'description': 'light intensity shower rain', 'icon': '09n'}, {'id': 201, 'main': 'Thunderstorm', 'description': 'thunderstorm with rain', 'icon': '11n'}]",{'1h': 0.39}
1170201600,1170146637,1170194132,20.7,21.25,1017,93,19.53,75,4000.0,3.6,160,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}, {'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09n'}]",
1170288000,1170233080,1170280510,20.75,21.18,1017,88,18.69,75,6000.0,3.1,160,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
1170374400,1170319522,1170366886,22.19,22.84,1017,91,20.65,100,5000.0,4.1,150,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
1170460800,1170405964,1170453261,20.86,21.3,1017,88,18.8,75,10000.0,3.6,160,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
1170547200,1170492406,1170539635,20.53,20.7,1017,79,16.76,40,9000.0,5.1,160,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
1170633600,1170578847,1170626007,21.07,21.35,1017,81,17.68,75,10000.0,3.6,160,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",
1170720000,1170665288,1170712379,23.14,23.86,1015,90,21.41,75,6000.0,2.6,240,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
1170806400,1170751729,1170798749,24.46,24.58,1014,62,16.71,20,10000.0,3.6,350,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",
